城市,类型,店名,点评,人均,口味,环境,服务,,,,,,
沈阳,东北菜,老好吃春饼(万泉店),161,26,8.1,7.8,8,,,,,,
上海,面馆,天池拉面,161,18,7.4,6.3,6.9,,,,,,
济南,日本料理,味千拉面(体育中心店)分店,161,40,6.8,6.5,6.4,,,,,,
绍兴,面包甜点,麦香城食品,160,7,7.7,7.8,8.1,,,,,,
青岛,海鲜,花园大酒店贵宾楼,160,137,7.7,8,7.7,,,,,,
南昌,小龙虾,丁桂付绝味龙虾,160,83,7.6,7.1,7.4,,,,,,
北京,面包甜点,鲜芋仙(金源新燕莎MALL店),160,25,7.8,7.6,7.4,,,,,,
石家庄,火锅,沧州火锅鸡,159,43,7.2,7.3,7.3,,,,,,
深圳,火锅,大龙_火锅(南山创业店)分店,159,118,7.7,8.2,7.8,,,,,,
杭州,西餐,逸庭果木牛扒Bar,159,114,7.9,8.2,8.3,,,,,,
常州,小吃快餐,腊汁肉夹馍(双桂坊店),159,17,7.9,7.6,7.9,,,,,,
武汉,火锅,北京东来顺(沌口分店)分店,158,88,7.3,7.3,7.1,,,,,,
无锡,无锡江浙,妖怪美食(湖滨店),158,104,8.4,8.5,8.8,,,,,,
北京,韩国料理,竹碳谷正一品(1号店),158,167,8.1,7.7,7.8,,,,,,
北京,西餐,汉堡王(龙德广场店)分店,158,30,8.4,8.1,7.7,,,,,,
苏州,小吃快餐,大牌冒菜(北摆宴街店),157,33,8.1,8.1,8.4,,,,,,
石家庄,小吃快餐,周大嘴黑鸭(新石南店),157,13,7.5,7.6,7.6,,,,,,
上海,面包甜点,卯时法式甜品Cinq Heure Du Mati...,157,68,9,8.9,9.1,,,,,,
上海,面馆,一觉博多豚骨拉面(PLUS乐坊店),157,48,7.6,7.7,7.9,,,,,,
广州,咖啡厅,星巴克(保利香缤花园店)分店,157,39,7.1,7.3,7.1,,,,,,
北京,素菜,嘉福宾舍,156,113,7.2,7.6,7,,,,,,
沈阳,火锅,彤德莱火锅(淘乐新天地店)分店,155,49,7.8,7.7,7.6,,,,,,
深圳,其他,J·House(福中一路店),155,62,6.7,7.8,7.1,,,,,,
宁波,粤菜,南苑环球酒店云庭下午茶餐厅,155,146,7.2,7.6,7.5,,,,,,
海口,面包甜点,么二抱罗粉(南宝店),155,25,7.6,8,7.7,,,,,,
广州,素菜,老佛椰素菜餐厅(番禺店),155,79,7.7,8.2,7.9,,,,,,
青岛,小吃快餐,小草屋涮毛肚,154,40,8.8,8.5,8.4,,,,,,
南宁,日本料理,悦膳日本料理,154,76,7.7,8.1,8.2,,,,,,
南昌,其他,星巴克(恒茂梦时代广场店)分店,154,37,7.4,7.3,7.4,,,,,,
深圳,小吃快餐,东方宫中国兰州牛肉拉面(海雅缤...,153,28,7.7,7.8,7.3,,,,,,
南宁,火锅,胖巴哥肉蟹煲餐厅(航洋国际广场...,153,70,7.1,7.6,7.6,,,,,,
深圳,西餐,必胜客宅急送(景田店)分店,152,53,7,6.8,7.1,,,,,,
宁波,小吃快餐,道地(联盛广场店),152,32,7.5,7.5,7.5,,,,,,
珠海,粤菜,味之林(沿河路店)分店,150,58,7.7,7.6,7.5,,,,,,
郑州,川菜,喜来秘制烤鱼,150,53,7.9,7.6,8,,,,,,
西安,农家菜,石羊农庄,150,94,7.4,7.7,6.7,,,,,,
上海,新疆菜,乐乐新疆风味餐厅,150,35,7.3,6.7,7,,,,,,
杭州,小龙虾,新浪有约Plus,150,105,7.5,7.6,7.4,,,,,,
北京,西北菜,伊兰轩餐厅,150,51,7.1,6.8,6.6,,,,,,
北京,韩国料理,长颈鹿紫菜包饭,150,20,8,7.5,8,,,,,,
重庆,面包甜点,一只酸奶牛(西南大学店),149,9,7.9,7.6,7.8,,,,,,
重庆,烧烤,王老大烧烤大排档,149,65,7.5,7.3,7.5,,,,,,
沈阳,朝韩料理,三千里烤肉馆(崇山西路店)分店,149,45,6.8,6.8,6.8,,,,,,
上海,小龙虾,杠开辣子秘制龙虾,149,107,9.1,8.6,8.8,,,,,,
合肥,川菜,紫燕百味鸡(大通店)分店,149,18,7.7,7.6,7.5,,,,,,
常州,小吃快餐,德克士(金谷广场店)分店,149,23,7.1,7.2,7.2,,,,,,
郑州,小吃快餐,德克士(五一公园餐厅),148,31,7.6,7.7,7.5,,,,,,
西安,新疆菜,老狼大盘鸡(东五路店),148,36,7.8,7.6,7.5,,,,,,
重庆,咖啡厅,COSTA COFFEE(星光时代广场店)分店,147,36,7.4,7.8,7.6,,,,,,
温州,西餐,华莱士(飞云店)分店,147,14,7.4,7.3,7.2,,,,,,
大连,面包甜点,艾德尔咖啡 Idea Coffee(科技广...,147,39,7.3,7.3,7.6,,,,,,
天津,西餐,乐尚客意式休闲餐厅(万福广场店),145,65,7.5,8.1,7.6,,,,,,
天津,日本料理,幸助_屋,145,45,8.6,9.2,9.2,,,,,,
苏州,咖啡厅,漫咖啡(曼巴特店),145,51,8.3,8.7,8.4,,,,,,
北京,小龙虾,阿骨羊火锅(鼓楼店),145,91,8.7,9,9,,,,,,
北京,粤菜,臻味潮汕砂锅粥(田村店)分店,145,65,8.2,8.3,7.9,,,,,,
太原,小吃快餐,六味斋(高新店)分店,144,15,7.6,7.5,7.5,,,,,,
广州,其他,Perry's Restaurant&Bar(林乐路...分店,144,61,7.1,7,7,,,,,,
长春,韩国料理,金子酱汤馆,143,24,7.1,6.2,6.4,,,,,,
武汉,火锅,九牛一锅(顺道街店),143,102,8,7.8,7.9,,,,,,
深圳,川菜,让鸭脑壳飞(西乡店),143,66,8,7.6,7.9,,,,,,
上海,小吃快餐,小杨生煎(七宝万科),143,22,7.9,8.1,7.9,,,,,,
北京,韩国料理,正一味(肖家河华联店),142,40,7.3,7.4,7.4,,,,,,
天津,海鲜,富祥贵宾楼(西青店),141,116,7.2,7.5,7.1,,,,,,
天津,日本料理,宝寿司(北辰店),141,62,9,8.8,9,,,,,,
杭州,火锅,串否成都串串料理,141,53,8.9,8.7,8.9,,,,,,
上海,其他,MANGOSIX(自贸区-加枫路店)分店,140,56,8.1,8.5,8.3,,,,,,
宁波,自助餐,达蓬山大酒店中餐厅,140,181,6.8,7.1,6.9,,,,,,
哈尔滨,东北菜,神农笨锅炖(江南分店),140,34,7.9,7.5,7.8,,,,,,
天津,海鲜,馋胖肉蟹煲(天津远洋未来广场店),139,61,7.5,8.5,8.4,,,,,,
上海,咖啡厅,NAPOLEON CAFE 拿破仑(正大广场...,139,29,8.6,8.5,9,,,,,,
广州,咖啡厅,独立烘焙事务所Uniona Kahave Co...,139,35,8,8.2,8.3,,,,,,
东莞,西餐,必胜客(华南摩尔店)分店,139,64,7.2,7.3,6.7,,,,,,
北京,日本菜,景鹤和风●料理(八角店),139,73,9,9.1,9.1,,,,,,
苏州,咖啡厅,星巴克(胥城大厦店)分店,138,38,8.2,8.1,8.2,,,,,,
青岛,面包甜点,苏记炒酸奶,138,12,8.4,8,8.1,,,,,,
杭州,海鲜,本家食养,138,99,7,6.9,6.9,,,,,,
沈阳,朝韩料理,尹社长石锅拌饭(中兴新一城店),137,39,7.1,8.3,7.2,,,,,,
合肥,面包甜点,仟吉西饼(百脑汇店)分店,137,19,7.5,7.5,7.5,,,,,,
大连,韩国料理,肉趣InterestingMeat,137,108,8.4,8.7,8.8,,,,,,
成都,川菜,又一味炭火鱼片(新城吾悦广场店),137,68,7.7,8.4,7.8,,,,,,
成都,自助餐,望江宾馆普吉岛餐厅,137,120,7.3,8,7.5,,,,,,
重庆,川菜,广潮荟,136,121,7.2,7.6,7.4,,,,,,
杭州,湘菜,蛙来哒(中大银泰城店),136,81,7.9,8.2,7.6,,,,,,
成都,粉面馆,_水越过桥米线(牛市口店),136,17,7.3,7.5,7.4,,,,,,
无锡,其他,金湖湖鲜馆,135,87,7.1,7.2,7.1,,,,,,
上海,小吃快餐,卤人甲,135,24,8.2,7.8,8.3,,,,,,
上海,其他,上海为民商行清真饭店,135,20,8.5,6.7,7,,,,,,
厦门,火锅,牛忙据点汕头鲜牛火锅,135,70,8.2,8.2,8.2,,,,,,
佛山,日本料理,金太郎拉面,135,50,8.4,8.8,9.1,,,,,,
上海,小吃快餐,舅家崇明原生态食府(七宝店)分店,134,116,7.9,7.9,7.8,,,,,,
厦门,韩国料理,朴大妈韩日料理,134,83,7.1,7.4,7.1,,,,,,
北京,江浙菜,福怡轩美食汇,134,65,7,6.8,6.8,,,,,,
天津,面包甜点,起士林(鞍山西道店),133,40,8.8,8.9,8.7,,,,,,
深圳,海鲜,中海捞海鲜自助火锅,132,75,6.9,6.9,6.8,,,,,,
上海,东南亚菜,华越楼-越南餐厅(绿地缤纷城店)分店,132,88,7.5,7.6,7.8,,,,,,
东莞,湘菜,筷乐湘村,132,57,7.6,7.8,7.8,,,,,,
深圳,海鲜,龙达挪威三文鱼(罗湖乐园店),131,77,7.1,6.8,6.9,,,,,,
南通,面包甜点,麦香人家(步行街店)分店,131,24,7.4,7.4,7.4,,,,,,
温州,咖啡厅,星巴克(温州时代店)分店,130,39,7.5,7.6,7.6,,,,,,
天津,海鲜,毛稀海鲜,130,50,7,6.6,6.7,,,,,,
石家庄,川菜,真石烧鱼(东胜店),130,81,7.1,7.4,7.3,,,,,,
北京,海鲜,湘红天海鲜乡土菜(丰管路店),130,115,7.9,7.7,7.6,,,,,,
长沙,火锅,虾吃虾涮(王家湾步步高店)分店,129,75,8.1,8,8.4,,,,,,
长春,烧烤,国发烤猪手总店,129,62,8.6,7.7,7.9,,,,,,
无锡,火锅,北平往事火锅(红豆万花城店),129,53,7.3,7.6,7.3,,,,,,
宁波,烧烤,168烧烤(庄市店)分店,129,59,7.8,8,7.8,,,,,,
南昌,面包甜点,youyizi优伊滋(老蓝天店),129,17,7.4,7.4,7.4,,,,,,
贵阳,快餐简餐,逍魂炒饭,129,15,7,6.5,6.6,,,,,,
苏州,火锅,宽窄巷子成都串串香(方洲店),128,49,7.6,6.8,7.1,,,,,,
昆明,其他,非子书吧,128,43,8.3,8.3,8.2,,,,,,
重庆,川菜,程大嘴美蛙,127,85,8.6,6.8,8.7,,,,,,
无锡,小吃快餐,龙门花甲(青山西路总店),127,16,7.9,7.5,7.8,,,,,,
无锡,小吃快餐,肯德基(中环店),127,30,7.6,7.7,7.4,,,,,,
上海,新疆菜,域香一品,127,73,7.1,7.7,7,,,,,,
青岛,烧烤,野百合蒙古烤羊腿,127,63,7.4,7.2,7.2,,,,,,
大连,面包甜点,莉蒂娅城堡榴芒蛋糕(锦辉购物广...,127,38,9,8.9,8.7,,,,,,
厦门,川菜,周正水煮活鱼(孙厝店)分店,126,48,7.6,7.6,7.7,,,,,,
南京,日本料理,N多寿司(和燕路店),126,21,8.4,8.1,8,,,,,,
昆明,小吃快餐,常来尝碗(环城东路店),126,17,7.9,7.9,7.9,,,,,,
沈阳,朝韩料理,小木屋米酒店,125,75,8.8,8.5,8.8,,,,,,
北京,烧烤,原始泥炉烤肉(二十分店)分店,125,94,9,9,8.6,,,,,,
西安,韩国料理,爱你味-正宗韩国料理,124,71,7.1,7.2,7.1,,,,,,
天津,面馆,唐会小黄牛带皮牛肉面米线,124,20,7.8,8.1,7.8,,,,,,
苏州,火锅,成都厕所串串(新市路店),123,51,7.9,8.1,8.4,,,,,,
沈阳,烧烤,韩国N2U熨斗烤肉(中街店),123,74,7.8,8.5,8.8,,,,,,
上海,韩国料理,鱼星,123,206,7.8,8.1,7.9,,,,,,
珠海,面包甜点,源记传承,122,17,7.9,8,7.7,,,,,,
南京,东南亚菜,柠檬鱼(麒麟门店),122,58,7.4,7.3,7.4,,,,,,
广州,私房菜,茶档(花城汇店),122,31,6.8,6.9,7.3,,,,,,
大连,大连海鲜,付家庄小渔村(椒房街店)分店,122,46,7.5,7.5,7.5,,,,,,
大连,咖啡厅,讲男讲女咖啡酒吧,122,50,7.6,8.1,7.9,,,,,,
乌鲁木齐,西餐,新语咖啡,121,89,7.5,7.6,7.5,,,,,,
南京,咖啡厅,蓝湾咖啡(东麒路店)分店,121,46,7,7.3,7.2,,,,,,
济南,西餐,迈德思客(崮山店),121,14,7.5,7.5,7.6,,,,,,
苏州,苏州江浙,老土灶,119,67,7.8,7.5,7.6,,,,,,
上海,海鲜,宝燕壹号海鲜餐厅(民生路店)分店,119,218,8.3,8.2,8.3,,,,,,
上海,西餐,SILEX,119,355,8.3,9.2,9,,,,,,
泉州,川菜,酷猫烤鱼(东海店),119,54,7.1,7.2,7,,,,,,
哈尔滨,烧烤,大呼啦烤肉(海河东路店),119,46,7.9,7.7,7.8,,,,,,
福州,咖啡厅,_\李家的逵(五四店)分店,119,42,7.6,9,8.3,,,,,,
西安,火锅,鱼玩主题火锅餐厅,118,97,8.8,8.1,8.8,,,,,,
温州,西餐,华莱士(站前店)分店,118,20,7.4,7.3,7.3,,,,,,
南京,烧烤,明生烧烤,118,66,8.3,7.5,8,,,,,,
兰州,快餐简餐,湘涛萨达姆牛肉面,118,9,7.1,6.6,6.6,,,,,,
杭州,杭帮/江浙菜,雷峰塔·藕香居餐厅,118,66,7.4,9.1,8.4,,,,,,
成都,日本料理,炙景台烧肉居酒屋(银泰城店),116,102,8.3,8.3,9,,,,,,
西安,川菜,小谭川菜,115,42,7.5,7,7.3,,,,,,
青岛,咖啡厅,星巴克(丽达广场店)分店,115,39,7.4,7.4,7.4,,,,,,
深圳,小吃快餐,美实粥粉店广州手工竹升面,114,13,7.2,6.7,7.1,,,,,,
深圳,其他,艺术食堂,113,100,8.1,8.7,7.6,,,,,,
南京,其他,万氏小胖子功夫龙虾(殷巷店),113,126,7.4,7.7,7.5,,,,,,
徐州,烧烤,木槿花自助烤肉火锅,112,47,7.1,7.3,7.4,,,,,,
青岛,西餐,红咖比萨,112,56,8.2,8.1,8.3,,,,,,
哈尔滨,川菜,串根香麻辣涮(会展店),112,55,8,8.1,8.4,,,,,,
西安,陕菜,聚珍园(南二环店),111,44,7.3,7,7.2,,,,,,
天津,面馆,美玲拉面分店,111,23,7.4,7.6,7.5,,,,,,
天津,其他,徽湘印巷(西康路店),111,86,9.2,9.3,9.2,,,,,,
太原,粤菜,龙茶坊皇后大道,111,55,7.2,7.2,7,,,,,,
南京,韩国料理,小木屋米酒店(尧化门店),111,80,7.7,8.1,7.8,,,,,,
济南,海鲜,许记胶东海鲜惠宾楼(许记全羊馆),111,50,6.9,7.2,7.3,,,,,,
大连,川菜,味道香鸡公煲(三八广场店),111,29,7.6,7.5,7.6,,,,,,
厦门,咖啡厅,宛若庭花,110,68,7.9,8.2,8.1,,,,,,
宁波,火锅,重庆金秋老火锅(高凤路店),110,85,8,8,7.9,,,,,,
南通,小吃面食,包福记牛肉面馆(轻纺城店)分店,110,16,7.2,7.3,7.3,,,,,,
哈尔滨,烧烤,大胡子烧烤城(宏伟路店)分店,110,42,7.4,7.1,7.3,,,,,,
佛山,粤菜,年年顺景酒楼(黄海路店)分店,110,84,7.6,7.9,7.4,,,,,,
北京,烧烤,StarHot星火烤肉,110,117,8.8,8.9,9.2,,,,,,
乌鲁木齐,川菜,重庆万州烤鱼,109,53,7.4,7.2,7.3,,,,,,
绍兴,其他,易烤易锅海鲜·烤肉·火锅自助,109,56,7.6,7.8,7.9,,,,,,
厦门,粤菜/潮州菜,粤风楼海鲜酒楼,109,84,7.9,8.3,8.1,,,,,,
南京,其他,桃李苑,109,187,8.4,8.1,7.6,,,,,,
济南,小吃快餐,陕十三肉夹馍,109,19,7.5,7.9,7.4,,,,,,
长春,韩国料理,春明风味馆(经开一区店),108,31,7.3,6.3,6.6,,,,,,
上海,日本菜,柒味怀石料理,108,478,8.8,7.9,8.8,,,,,,
青岛,小吃快餐,肯德基(香港中路店),108,31,7.4,7.5,7.3,,,,,,
南京,火锅,漫花园重庆火锅·美蛙鱼头,108,90,7.2,7.7,7.4,,,,,,
南昌,西北菜,牧羊庄烤全羊,108,111,8.5,8.4,8.5,,,,,,
大连,火锅,李记铸铁锅炖鱼(胜利路店),108,82,8.4,8.6,8.6,,,,,,
昆明,自助餐,素吉祥素食主题餐厅,107,29,7.7,7.8,7.9,,,,,,
天津,川菜,东川麻辣香锅(天津梅江永旺店)分店,106,39,7.8,7.7,7.5,,,,,,
佛山,粤菜,御海湾大酒楼,106,61,7.9,7.5,7.5,,,,,,
大连,自助餐,中山大酒店自助,106,96,7,7.5,7.4,,,,,,
沈阳,火锅,巴适串串香,105,68,7.8,7.7,7.8,,,,,,
广州,东南亚菜,曼古园百姓餐厅,105,62,6.6,7.1,6.7,,,,,,
东莞,面包甜点,极光烘焙坊(明珠店),105,15,7.4,7.4,7.4,,,,,,
深圳,烧烤,风雅炭火烧肉,104,231,7.8,8,7.5,,,,,,
上海,小龙虾,龙虾范儿,104,35,8.4,8.1,8.3,,,,,,
厦门,小吃快餐,Hi~饺子(禾祥店),104,30,7.8,8.2,8.1,,,,,,
青岛,火锅,彤德莱火锅(胶南人民路店)分店,104,58,7.6,7.7,7.6,,,,,,
南通,面包甜点,爱米小屋(锦绣路店)分店,104,21,7.5,7.5,7.5,,,,,,
嘉兴,咖啡厅,维尼花园咖啡,104,69,7.5,7.7,7.7,,,,,,
重庆,面包甜点,好利来(龙湖店)分店,103,27,8.1,8,8,,,,,,
珠海,粤菜,龙轩怡庭宴会海鲜酒家,102,109,7.8,7.7,7.6,,,,,,
苏州,川菜,渔上签 烤鱼·烧烤·川菜音乐餐...,102,75,7.3,7.9,7.7,,,,,,
福州,海鲜,半岛翡丽海鲜自助餐厅,102,462,8.5,8.8,8.8,,,,,,
西安,面包甜点,初代宇治抹茶(熙地港店),101,35,8.3,8.7,8.2,,,,,,
无锡,面包甜点,韩国雪冰(宝龙店),101,33,7.8,8,8,,,,,,
温州,面包甜点,一鸣真鲜奶吧(肖江永乐奶吧)分店,101,10,7.6,7.6,7.6,,,,,,
深圳,烧烤,鸟剑居酒屋(南山店)分店,101,212,7.7,8.3,7.5,,,,,,
武汉,其他,巴土人家恩施菜馆(二七店),100,68,8.7,8.4,8.8,,,,,,
海口,日本料理,陇_烧肉酒场(宜欣店),100,120,8.2,8.6,8.3,,,,,,
大连,小吃快餐,福乐牛肉面(菜市店),100,26,7.6,7.6,7.7,,,,,,
成都,海鲜,祥宇酒店祥景海鲜自助餐厅,100,107,7.6,7.9,8.1,,,,,,
南宁,江浙菜,年年不忘中餐厅(航洋国际广场店),99,45,7.8,8.6,8,,,,,,
大连,火锅,毕富肥牛海鲜豆捞(湾家店)分店,99,77,9,9.1,9.1,,,,,,
乌鲁木齐,火锅,一号桥自助火锅,98,64,6.8,6.6,6.6,,,,,,
沈阳,火锅,巴鼎红重庆老火锅,98,57,7.6,7.4,7.6,,,,,,
宁波,面包甜点,觅物甜品哲学(港隆广场店),98,28,7.8,8.1,7.9,,,,,,
济南,海鲜,劈柴院(贤文庄店),98,75,7.6,7.1,7.4,,,,,,
成都,其他,廖记棒棒鸡(天顺路直营店)分店,98,23,7.5,7.6,7.4,,,,,,
北京,创意菜,面包与枪支丨生活餐厅(中关村店)暂停营业,98,64,7.9,8.7,8.5,,,,,,
郑州,咖啡厅,咖啡陪你CaffeBene(大上海城店),97,44,7.4,7.5,7.3,,,,,,
乌鲁木齐,自助餐,好日子自助烤吧-清真(和平桥店),97,86,7.2,7.2,7.3,,,,,,
苏州,西餐,魔法味觉牛排西餐厅,97,90,7.5,8.2,7.7,,,,,,
深圳,其他,襄阳牛杂面(金桥店),97,13,7.3,6.7,7.2,,,,,,
兰州,火锅,九月娇时尚海鲜自选火锅超市(雁...,97,57,7.1,6.9,6.9,,,,,,
成都,面包甜点,爱达乐(成都东方广场店),97,16,7.6,8,7.7,,,,,,
长春,面包甜点,米旗(前进店)分店,96,21,7.6,7.6,7.6,,,,,,
台州,烧烤,韩林炭烤(温岭店),96,96,7,7,7,,,,,,
苏州,面馆,钦味面馆,96,19,7.5,7.4,7.4,,,,,,
宁波,韩国料理,金草帽(高凤路店)暂停营业,96,70,7,7.2,7.1,,,,,,
济南,火锅,捞天下火锅,96,85,7.7,7.5,7.5,,,,,,
长沙,西餐,纽约客炸鸡汉堡店(乐和城店),95,13,8.4,8,8.5,,,,,,
南通,海鲜,炜炜小厨(五一路店),95,106,8.4,8.1,8,,,,,,
南京,面包甜点,元祖食品(小卫街店)分店,95,185,7.8,8.1,7.7,,,,,,
合肥,川菜,紫燕百味鸡(琅琊山店)分店,95,18,7.6,7.5,7.4,,,,,,
广州,茶餐厅,火车头茶餐厅,95,48,7.2,7.7,7.4,,,,,,
广州,韩国料理,UFO宇宙锅(时尚天河商业广场店),95,55,7.1,7.5,7.4,,,,,,
重庆,小吃快餐,九九豆花馆,94,15,7.6,6.6,7.2,,,,,,
青岛,海鲜,聚福鑫苑海鲜自助,94,61,7.8,8.1,8.3,,,,,,
重庆,海鲜,叮叮猫海鲜牛排自助烤肉(李家沱...,93,57,7.6,7.6,7.7,,,,,,
上海,烧烤,鲔吞日本料理(曹路宝龙广场店),93,147,7.2,7.8,7.6,,,,,,
广州,私房菜,外婆家私房菜(大学城店),93,45,7.8,7,7.3,,,,,,
珠海,面包甜点,甜品蔡,92,20,7.9,7.8,8.1,,,,,,
宁波,小吃快餐,味一早餐(民安路店)分店,92,11,7.4,7.1,7,,,,,,
西安,面馆,_一碗大块牛肉面,91,17,7.6,7.2,7.3,,,,,,
上海,韩国料理,统营阿姨(古北店)分店,91,103,8.3,8.1,8.3,,,,,,
青岛,川菜,麻辣柒货广告,91,129,8.1,7.5,7.6,,,,,,
武汉,小吃快餐,家礼川式米线(武汉天地店),90,29,7.5,7.8,7.5,,,,,,
宁波,西餐,必胜客(城隍庙店)分店,90,62,6.8,6.8,6.8,,,,,,
合肥,川菜,五七油焖大虾,90,99,7.2,7.7,7.6,,,,,,
东莞,粤菜,俺的江湖鱼(万科生活广场店)分店,90,59,7.6,7.9,7.8,,,,,,
长沙,面包甜点,鲜芋仙(步步高梅溪新天地店),89,30,7.2,7.3,7.2,,,,,,
深圳,韩国料理,大同江,89,53,7.2,6.8,7.2,,,,,,
深圳,面包甜点,清和堂,89,49,7.3,7.4,7.4,,,,,,
厦门,西餐,江畔餐厅,89,135,7.4,8,7.7,,,,,,
厦门,小吃快餐,名柯南炸店鸡腿(乐海店),89,17,8.1,7.6,7.9,,,,,,
合肥,西餐,burger kitchen罗拔汉堡,89,45,8.8,8.8,8.8,,,,,,
杭州,海鲜,海洋生活(蓝色钱江店)分店,89,302,7.6,7.7,8,,,,,,
珠海,湘菜,回家湘(横琴店),88,50,7.2,6.9,7,,,,,,
西安,陕菜,面辣子酒楼(钟楼店)分店,88,56,7.3,7.4,7.1,,,,,,
温州,西餐,公牛太狼(明珠广场店),88,56,7.4,7.5,7.5,,,,,,
兰州,小吃面食,张掖路甜食店,88,11,7.2,6.7,6.6,,,,,,
兰州,其他,纵横羊肉(铁路局店),88,63,7.8,7.6,7.1,,,,,,
惠州,客家菜,天鹅湖农庄,88,66,7,7,6.9,,,,,,
哈尔滨,烧烤,撸串吧,88,64,7.3,7.5,7.2,,,,,,
福州,其他,莲花阁茶艺素食馆,88,287,7.4,7.8,7.4,,,,,,
武汉,粤菜,一品粥道(汉西店)分店暂停营业,87,52,7.4,7.3,7.3,,,,,,
武汉,西餐,牧之初心·原切牛排,87,63,8.1,7.7,8,,,,,,
天津,湘菜,三湘四水湖南特色餐厅,87,80,8.1,7.7,7.3,,,,,,
沈阳,西餐,犀客披萨,87,40,8.7,9,9,,,,,,
绍兴,火锅,古炉火锅-老成都(柯桥店),87,102,7.8,8.6,8.4,,,,,,
上海,本帮江浙菜,漫湘时尚餐厅(台北风情街店),87,67,7.9,9,8.7,,,,,,
厦门,日本料理,烧将居酒屋分店,87,114,8.6,8.7,8.7,,,,,,
南通,江浙菜,江南厨房(星湖店),87,56,7.5,7.3,7.4,,,,,,
南京,火锅,原塞赛汗塔拉涮羊肉(所街店),87,75,9.1,9,9.2,,,,,,
杭州,烧烤,胖子烧烤,87,50,7.6,7.2,7.5,,,,,,
杭州,火锅,京城里火锅,87,96,7,7.2,7.2,,,,,,
西安,日本料理,山丘料理,86,254,7.8,9,9.1,,,,,,
西安,川菜,辣界私房麻辣香锅(总店),86,62,7.3,7.5,7.3,,,,,,
青岛,小吃快餐,小溪荷月私家牛肉馆,86,37,8.7,8.7,8.8,,,,,,
昆明,火锅,嫡炉火锅(南亚店),86,107,7.2,7.2,6.8,,,,,,
广州,海鲜,万顷沙十四涌水产中心,86,93,7.3,6.7,6.9,,,,,,
重庆,火锅,多喝汤(解放碑英利大融城店)分店,85,27,7.4,7.6,7.6,,,,,,
武汉,粉面馆,秦见面(中南店),85,21,7.6,7.6,7.7,,,,,,
台州,快餐简餐,香八客麻辣烫,85,22,7.4,7.3,7.3,,,,,,
石家庄,面包甜点,米莎贝尔(卓达书香店)分店,85,30,7.6,7.5,7.6,,,,,,
沈阳,小吃快餐,马家烧麦(三台子店),85,41,8.1,8.1,7.9,,,,,,
合肥,火锅,解馋牛骨火锅,85,48,7.5,7.4,7.6,,,,,,
郑州,小吃快餐,醒屋牛肉饭(人民路店)分店,84,24,7.5,8.2,7.9,,,,,,
武汉,火锅,重庆光富火锅(吉庆街店),84,68,8.5,8.4,8.4,,,,,,
天津,天津菜,狗不理(东丽湖大酒店)分店,84,183,7,7.1,7,,,,,,
上海,家常菜,宏泰祥生煎馆(梅川店),84,16,6.9,7.2,7.1,,,,,,
北京,面包甜点,鲜芋仙(龙湖大兴天街店),84,22,8.1,8.3,7.8,,,,,,
中山,快餐简餐,绝味鸭脖(中山港1+1店),83,14,7.4,7.4,7.4,,,,,,
无锡,其他,品味轩融合餐厅,83,70,7,7.5,6.9,,,,,,
天津,韩国料理,津利华名家菜(中山北路店),83,74,7.3,7.2,7.2,,,,,,
苏州,粤菜,苏园广式茶餐厅,83,81,8.3,8.7,8.5,,,,,,
沈阳,海鲜,天天海鲜人家,83,138,6.7,6.7,6.4,,,,,,
厦门,火锅,汕头玉兰牛肉火锅,83,80,7.1,7.2,7.2,,,,,,
宁波,小吃快餐,金陵蟹黄汤包店,83,23,7.8,7.5,7.8,,,,,,
南京,面包甜点,乌煎道黑龙茶分店,83,13,9,9,9.1,,,,,,
贵阳,面包甜点,惠诚滋知(花溪二店),83,15,7.5,7.4,7.4,,,,,,
成都,粉面馆,全家福米线,83,10,8.1,6.3,7,,,,,,
烟台,鲁菜,三合园饺子馆(二马路店)分店,82,48,7.2,6.9,6.7,,,,,,
天津,小吃快餐,和香香·喝盅好汤,82,36,8.2,8.3,8.4,,,,,,
苏州,面包甜点,1点点(来客茂店),82,14,8.3,7.9,8.1,,,,,,
青岛,咖啡厅,劳斯特咖啡,82,33,7.5,7.5,7.5,,,,,,
惠州,快餐简餐,冒菜老号(美博城店)分店,82,38,7.2,7.6,7.5,,,,,,
广州,小吃,弹丸滋地(潮楼名店城店)分店,82,14,7.7,7.3,7.5,,,,,,
北京,咖啡厅,星巴克(丰葆路店)分店,82,41,8,8.1,7.5,,,,,,
天津,烧烤,全福味之源烧烤(新港店)分店,81,86,7.4,7.2,7.3,,,,,,
惠州,粤菜,老锦记潮汕牛肉馆(河南岸店)分店,81,64,7.6,7.4,7.7,,,,,,
杭州,西餐,ZJ TACO&GRILL BAR,81,58,8,8.7,8.5,,,,,,
哈尔滨,韩国料理,烤肉乐,81,54,7.9,7.7,7.7,,,,,,
福州,咖啡厅,星空客厅咖啡馆,81,52,7.6,8.4,7.9,,,,,,
北京,新疆菜,西域明远(青年城店),81,46,7.4,7.2,7.3,,,,,,
北京,其他,巷 craft beer & whiskey,81,137,7.7,7.5,7.8,,,,,,
重庆,韩国料理,韩桃宫韩国烤肉,80,60,7.9,7.9,8,,,,,,
石家庄,西餐,NUBA牛巴店(西美花街店),80,46,7.3,7.6,7.2,,,,,,
